		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 249.984375	M = 128000	N = 8	m = 9	n = 1024000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
111100010  200  243  259  237  259  270  224  262 16.957293 0.030557 SUCCESS 133
111100100  276  250  251  256  274  244  240  248  5.917358 0.656489 SUCCESS 134
111100110  260  258  243  249  242  274  286  245  9.006166 0.341776 SUCCESS 135
111101000  261  288  251  240  237  269  273  255 11.387354 0.180702 SUCCESS 136
111101010  256  253  232  247  268  234  255  260  4.481430 0.811288 SUCCESS 137
111101100  249  234  259  235  245  235  271  219  9.157438 0.329189 SUCCESS 138
111101110  224  230  272  254  255  226  261  238 10.098303 0.258194 SUCCESS 139
111110000  247  255  244  272  247  238  253  231  4.454279 0.813990 SUCCESS 140
111110010  259  247  253  242  250  260  238  233  2.877293 0.941820 SUCCESS 141
111110100  252  278  255  259  242  260  256  273  6.724663 0.566610 SUCCESS 142
111110110  265  249  242  234  225  242  246  219  9.141794 0.330476 SUCCESS 143
111111000  244  268  221  278  248  250  231  241 10.055507 0.261152 SUCCESS 144
111111010  266  278  252  250  254  247  261  259  5.267273 0.728665 SUCCESS 145
111111100  260  264  239  251  251  266  241  259  3.466998 0.901736 SUCCESS 146
111111110  247  261  239  232  249  264  243  270  5.052388 0.751962 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 249.984375	M = 128000	N = 8	m = 9	n = 1024000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
